Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1291390,-,-,-,41.89,-72.54,-5,69,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Surface Albedo,Wind Direction,Wind Speed
2020,1,1,0,30,-1.2000000000000002,0,0,0,0.7000000000000001,265,0.2
2020,1,1,1,30,-1.9000000000000001,0,0,0,0.7000000000000001,263,0.2
2020,1,1,2,30,-2.6,0,0,0,0.7000000000000001,261,0.2
2020,1,1,3,30,-3.5,0,0,0,0.7000000000000001,256,0.2
2020,1,1,4,30,-4.4,0,0,0,0.7000000000000001,249,0.2
2020,1,1,5,30,-4.7,0,0,0,0.7000000000000001,246,0.2
2020,1,1,6,30,-4.7,0,0,0,0.7000000000000001,247,0.2
2020,1,1,7,30,-4,148,14,18,0.7000000000000001,249,0.2
2020,1,1,8,30,-2.1,274,77,124,0.7000000000000001,250,0.2
2020,1,1,9,30,-0.30000000000000004,1,102,102,0.7000000000000001,252,0.2
2020,1,1,10,30,0.7000000000000001,238,218,308,0.7000000000000001,260,0.2
2020,1,1,11,30,1,649,140,413,0.7000000000000001,266,0.2
2020,1,1,12,30,1.1,14,156,162,0.7000000000000001,269,0.30000000000000004
2020,1,1,13,30,1,28,175,185,0.7000000000000001,271,0.2
2020,1,1,14,30,0.8,165,109,154,0.7000000000000001,272,0.2
2020,1,1,15,30,0,375,49,103,0.7000000000000001,272,0.2
2020,1,1,16,30,-1,0,2,2,0.7000000000000001,273,0.2
2020,1,1,17,30,-1.7000000000000002,0,0,0,0.7000000000000001,274,0.2
2020,1,1,18,30,-2.3000000000000003,0,0,0,0.7000000000000001,275,0.2
2020,1,1,19,30,-3.2,0,0,0,0.75,272,0.2
2020,1,1,20,30,-4.2,0,0,0,0.75,267,0.2
2020,1,1,21,30,-5,0,0,0,0.75,264,0.2
2020,1,1,22,30,-5.6000000000000005,0,0,0,0.75,260,0.2
2020,1,1,23,30,-6.5,0,0,0,0.75,256,0.2
2020,1,2,0,30,-7.4,0,0,0,0.75,255,0.2
2020,1,2,1,30,-7.9,0,0,0,0.75,253,0.2
2020,1,2,2,30,-7.800000000000001,0,0,0,0.75,250,0.30000000000000004
2020,1,2,3,30,-7.300000000000001,0,0,0,0.75,245,0.30000000000000004
2020,1,2,4,30,-6.5,0,0,0,0.75,239,0.2
2020,1,2,5,30,-5.9,0,0,0,0.75,235,0.2
2020,1,2,6,30,-5.7,0,0,0,0.75,232,0.2
2020,1,2,7,30,-4.800000000000001,0,10,10,0.75,227,0.2
2020,1,2,8,30,-2.3000000000000003,28,86,91,0.75,221,0.2
2020,1,2,9,30,0.2,231,174,242,0.75,218,0.2
2020,1,2,10,30,1.6,136,254,306,0.75,221,0.2
2020,1,2,11,30,2.3000000000000003,241,263,365,0.75,222,0.2
2020,1,2,12,30,2.8000000000000003,833,84,432,0.75,220,0.2
2020,1,2,13,30,3,845,64,375,0.75,216,0.2
2020,1,2,14,30,2.6,586,87,248,0.75,212,0.2
2020,1,2,15,30,2,9,73,74,0.75,209,0.2
2020,1,2,16,30,1.5,0,3,3,0.75,203,0.2
2020,1,2,17,30,1.4000000000000001,0,0,0,0.75,200,0.2
2020,1,2,18,30,1.4000000000000001,0,0,0,0.75,201,0.2
2020,1,2,19,30,1.4000000000000001,0,0,0,0.11,204,0.2
2020,1,2,20,30,1.5,0,0,0,0.11,210,0.2
2020,1,2,21,30,1.4000000000000001,0,0,0,0.11,217,0.2
2020,1,2,22,30,1.3,0,0,0,0.11,224,0.2
2020,1,2,23,30,1.3,0,0,0,0.11,228,0.2
2020,1,3,0,30,1.2000000000000002,0,0,0,0.11,229,0.1
2020,1,3,1,30,1.2000000000000002,0,0,0,0.11,229,0.1
2020,1,3,2,30,1.5,0,0,0,0.11,236,0.1
2020,1,3,3,30,1.6,0,0,0,0.11,242,0.1
2020,1,3,4,30,1.2000000000000002,0,0,0,0.11,237,0.1
2020,1,3,5,30,0.9,0,0,0,0.11,231,0.1
2020,1,3,6,30,1.1,0,0,0,0.11,232,0.1
2020,1,3,7,30,1.8,0,2,2,0.11,228,0.1
2020,1,3,8,30,2.7,166,41,70,0.11,223,0.2
2020,1,3,9,30,3.9000000000000004,38,132,143,0.11,220,0.30000000000000004
2020,1,3,10,30,5.300000000000001,74,191,219,0.11,222,0.4
2020,1,3,11,30,6.1000000000000005,60,178,203,0.11,232,0.4
2020,1,3,12,30,6.2,103,177,220,0.11,233,0.4
2020,1,3,13,30,6,56,151,172,0.11,231,0.4
2020,1,3,14,30,5,22,75,81,0.11,241,0.4
2020,1,3,15,30,3.7,0,14,14,0.11,249,0.5
2020,1,3,16,30,2.8000000000000003,0,1,1,0.11,255,0.4
2020,1,3,17,30,2.6,0,0,0,0.11,267,0.2
2020,1,3,18,30,2.6,0,0,0,0.11,277,0.1
2020,1,3,19,30,2.5,0,0,0,0.11,277,0.1
2020,1,3,20,30,2.5,0,0,0,0.11,277,0.1
2020,1,3,21,30,2.6,0,0,0,0.11,283,0.2
2020,1,3,22,30,2.8000000000000003,0,0,0,0.11,297,0.4
2020,1,3,23,30,2.9000000000000004,0,0,0,0.11,316,0.5
2020,1,4,0,30,2.6,0,0,0,0.11,332,0.5
2020,1,4,1,30,2.7,0,0,0,0.11,336,0.5
2020,1,4,2,30,3.1,0,0,0,0.11,344,0.8
2020,1,4,3,30,3.4000000000000004,0,0,0,0.11,185,0.8
2020,1,4,4,30,3.4000000000000004,0,0,0,0.11,32,0.7000000000000001
2020,1,4,5,30,2.9000000000000004,0,0,0,0.11,50,0.5
2020,1,4,6,30,2.5,0,0,0,0.11,64,0.30000000000000004
2020,1,4,7,30,2.9000000000000004,0,2,2,0.11,83,0.1
2020,1,4,8,30,3.6,0,18,18,0.11,101,0.1
2020,1,4,9,30,3.8000000000000003,13,99,103,0.11,119,0.2
2020,1,4,10,30,4,9,120,123,0.11,135,0.2
2020,1,4,11,30,4.2,27,166,177,0.11,147,0.2
2020,1,4,12,30,4.3,8,60,63,0.11,156,0.2
2020,1,4,13,30,4.3,2,94,95,0.11,159,0.30000000000000004
2020,1,4,14,30,4.4,5,53,54,0.11,144,0.30000000000000004
2020,1,4,15,30,4.2,0,19,19,0.11,82,0.30000000000000004
2020,1,4,16,30,3.4000000000000004,0,1,1,0.11,20,0.30000000000000004
2020,1,4,17,30,2.8000000000000003,0,0,0,0.11,172,0.2
2020,1,4,18,30,2.6,0,0,0,0.11,336,0.2
2020,1,4,19,30,2.4000000000000004,0,0,0,0.11,334,0.2
2020,1,4,20,30,2,0,0,0,0.11,330,0.2
2020,1,4,21,30,1.6,0,0,0,0.11,323,0.2
2020,1,4,22,30,1.2000000000000002,0,0,0,0.11,323,0.30000000000000004
2020,1,4,23,30,0.9,0,0,0,0.11,323,0.30000000000000004
2020,1,5,0,30,0.7000000000000001,0,0,0,0.11,320,0.30000000000000004
2020,1,5,1,30,0.5,0,0,0,0.11,318,0.30000000000000004
2020,1,5,2,30,0.1,0,0,0,0.11,318,0.4
2020,1,5,3,30,-0.30000000000000004,0,0,0,0.11,316,0.4
2020,1,5,4,30,-0.9,0,0,0,0.11,314,0.30000000000000004
2020,1,5,5,30,-1.5,0,0,0,0.11,312,0.30000000000000004
2020,1,5,6,30,-2,0,0,0,0.11,310,0.30000000000000004
2020,1,5,7,30,-1.7000000000000002,0,7,7,0.11,308,0.30000000000000004
2020,1,5,8,30,-0.7000000000000001,1,64,64,0.11,310,0.4
2020,1,5,9,30,0.2,14,120,124,0.11,314,0.5
2020,1,5,10,30,0.7000000000000001,5,121,123,0.11,314,0.5
2020,1,5,11,30,1,127,250,304,0.11,313,0.5
2020,1,5,12,30,1.1,174,200,274,0.11,312,0.5
2020,1,5,13,30,0.9,559,122,331,0.11,311,0.5
2020,1,5,14,30,0.2,648,70,252,0.11,311,0.4
2020,1,5,15,30,-0.8,646,33,132,0.11,310,0.4
2020,1,5,16,30,-1.7000000000000002,93,7,7,0.11,306,0.30000000000000004
2020,1,5,17,30,-2.4000000000000004,0,0,0,0.11,303,0.30000000000000004
2020,1,5,18,30,-3.1,0,0,0,0.11,302,0.30000000000000004
2020,1,5,19,30,-3.7,0,0,0,0.7000000000000001,301,0.30000000000000004
2020,1,5,20,30,-4.3,0,0,0,0.7000000000000001,297,0.30000000000000004
2020,1,5,21,30,-4.6000000000000005,0,0,0,0.7000000000000001,289,0.30000000000000004
2020,1,5,22,30,-4.3,0,0,0,0.7000000000000001,281,0.30000000000000004
2020,1,5,23,30,-3.5,0,0,0,0.7000000000000001,272,0.30000000000000004
2020,1,6,0,30,-2.8000000000000003,0,0,0,0.7000000000000001,259,0.30000000000000004
2020,1,6,1,30,-2.4000000000000004,0,0,0,0.7000000000000001,241,0.2
2020,1,6,2,30,-2.1,0,0,0,0.7000000000000001,221,0.2
2020,1,6,3,30,-2.1,0,0,0,0.7000000000000001,204,0.2
2020,1,6,4,30,-2.2,0,0,0,0.7000000000000001,191,0.2
2020,1,6,5,30,-2.3000000000000003,0,0,0,0.7000000000000001,180,0.30000000000000004
2020,1,6,6,30,-2.3000000000000003,0,0,0,0.7000000000000001,171,0.30000000000000004
2020,1,6,7,30,-1.6,0,5,5,0.7000000000000001,173,0.2
2020,1,6,8,30,-0.2,0,39,39,0.7000000000000001,189,0.2
2020,1,6,9,30,0.9,0,52,52,0.7000000000000001,207,0.2
2020,1,6,10,30,1.5,0,71,71,0.7000000000000001,221,0.30000000000000004
2020,1,6,11,30,2,0,88,88,0.7000000000000001,235,0.30000000000000004
2020,1,6,12,30,2.5,148,203,266,0.7000000000000001,246,0.2
2020,1,6,13,30,2.8000000000000003,744,98,378,0.7000000000000001,249,0.2
2020,1,6,14,30,2.3000000000000003,242,151,220,0.7000000000000001,249,0.2
2020,1,6,15,30,0.9,6,87,88,0.7000000000000001,253,0.2
2020,1,6,16,30,-0.1,0,4,4,0.7000000000000001,259,0.2
2020,1,6,17,30,-0.6000000000000001,0,0,0,0.7000000000000001,262,0.2
2020,1,6,18,30,-1.5,0,0,0,0.7000000000000001,259,0.2
2020,1,6,19,30,-2.1,0,0,0,0.67,254,0.2
2020,1,6,20,30,-2.2,0,0,0,0.67,250,0.2
2020,1,6,21,30,-1.9000000000000001,0,0,0,0.67,248,0.2
2020,1,6,22,30,-1.4000000000000001,0,0,0,0.67,250,0.30000000000000004
2020,1,6,23,30,-0.9,0,0,0,0.67,252,0.30000000000000004
2020,1,7,0,30,-0.7000000000000001,0,0,0,0.67,255,0.30000000000000004
2020,1,7,1,30,-0.6000000000000001,0,0,0,0.67,259,0.30000000000000004
2020,1,7,2,30,-0.8,0,0,0,0.67,264,0.30000000000000004
2020,1,7,3,30,-1.1,0,0,0,0.67,272,0.30000000000000004
2020,1,7,4,30,-1.6,0,0,0,0.67,279,0.30000000000000004
2020,1,7,5,30,-2.4000000000000004,0,0,0,0.67,284,0.2
2020,1,7,6,30,-2.9000000000000004,0,0,0,0.67,282,0.2
2020,1,7,7,30,-1.8,1,12,12,0.67,270,0.2
2020,1,7,8,30,0.5,17,95,98,0.67,261,0.2
2020,1,7,9,30,2.1,86,194,220,0.67,264,0.2
2020,1,7,10,30,2.8000000000000003,878,69,408,0.67,266,0.2
2020,1,7,11,30,3.3000000000000003,900,76,463,0.67,255,0.2
2020,1,7,12,30,3.5,518,202,423,0.67,240,0.1
2020,1,7,13,30,3.2,217,223,305,0.67,205,0.2
2020,1,7,14,30,2.4000000000000004,36,156,166,0.67,150,0.4
2020,1,7,15,30,0.9,3,65,65,0.67,115,0.6000000000000001
2020,1,7,16,30,-0.4,0,4,4,0.67,109,0.4
2020,1,7,17,30,-0.8,0,0,0,0.67,110,0.2
2020,1,7,18,30,-0.8,0,0,0,0.67,106,0.1
2020,1,7,19,30,-0.7000000000000001,0,0,0,0.12,94,0.1
2020,1,7,20,30,-0.7000000000000001,0,0,0,0.12,81,0.1
2020,1,7,21,30,-0.8,0,0,0,0.12,66,0.1
2020,1,7,22,30,-0.9,0,0,0,0.12,41,0.2
2020,1,7,23,30,-1,0,0,0,0.12,187,0.2
2020,1,8,0,30,-1.3,0,0,0,0.12,334,0.2
2020,1,8,1,30,-1.7000000000000002,0,0,0,0.12,308,0.2
2020,1,8,2,30,-2.1,0,0,0,0.12,293,0.2
