Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,268546,-,-,-,36.45,-114.74,-8,680,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Surface Albedo,Wind Direction,Wind Speed
2021,1,1,0,30,2.9000000000000004,0,0,0,0.24,357,3.9000000000000004
2021,1,1,1,30,2.7,0,0,0,0.24,180,3.9000000000000004
2021,1,1,2,30,2.6,0,0,0,0.24,1,3.9000000000000004
2021,1,1,3,30,2.4000000000000004,0,0,0,0.24,181,3.8000000000000003
2021,1,1,4,30,2.1,0,0,0,0.24,359,3.6
2021,1,1,5,30,1.8,0,0,0,0.24,357,3.4000000000000004
2021,1,1,6,30,2.4000000000000004,0,0,0,0.24,356,3.6
2021,1,1,7,30,4.5,32,479,82,0.24,178,4.6000000000000005
2021,1,1,8,30,7.1000000000000005,49,779,254,0.24,7,5.2
2021,1,1,9,30,9.4,60,884,404,0.24,17,4.800000000000001
2021,1,1,10,30,11.200000000000001,68,930,507,0.24,24,4.2
2021,1,1,11,30,12.3,69,954,554,0.24,30,3.7
2021,1,1,12,30,12.9,68,951,538,0.24,35,3.2
2021,1,1,13,30,13,64,916,458,0.24,38,2.7
2021,1,1,14,30,12.3,56,839,326,0.24,38,1.9000000000000001
2021,1,1,15,30,10.200000000000001,41,664,158,0.24,25,1.2000000000000002
2021,1,1,16,30,8.200000000000001,10,125,11,0.24,181,1.1
2021,1,1,17,30,7.1000000000000005,0,0,0,0.24,345,1.3
2021,1,1,18,30,6.1000000000000005,0,0,0,0.24,342,1.3
2021,1,1,19,30,5.300000000000001,0,0,0,0.24,344,1.3
2021,1,1,20,30,4.7,0,0,0,0.24,349,1.3
2021,1,1,21,30,4.3,0,0,0,0.24,177,1.2000000000000002
2021,1,1,22,30,3.6,0,0,0,0.24,171,1.2000000000000002
2021,1,1,23,30,2.7,0,0,0,0.24,332,1.2000000000000002
2021,1,2,0,30,2.4000000000000004,0,0,0,0.24,323,1.3
2021,1,2,1,30,2.3000000000000003,0,0,0,0.24,328,1.2000000000000002
2021,1,2,2,30,2,0,0,0,0.24,337,1.2000000000000002
2021,1,2,3,30,1.8,0,0,0,0.24,343,1.2000000000000002
2021,1,2,4,30,2.1,0,0,0,0.24,343,1.1
2021,1,2,5,30,2,0,0,0,0.24,341,1.1
2021,1,2,6,30,2.3000000000000003,0,0,0,0.24,340,1.1
2021,1,2,7,30,4.3,38,355,75,0.24,341,1.4000000000000001
2021,1,2,8,30,7.300000000000001,61,698,245,0.24,177,1.3
2021,1,2,9,30,9.9,65,860,400,0.24,36,0.6000000000000001
2021,1,2,10,30,11.700000000000001,71,915,504,0.24,198,0.5
2021,1,2,11,30,12.8,74,933,549,0.24,171,0.6000000000000001
2021,1,2,12,30,13.4,73,925,531,0.24,46,0.7000000000000001
2021,1,2,13,30,13.5,67,891,452,0.24,95,1
2021,1,2,14,30,12.700000000000001,93,583,282,0.24,111,1
2021,1,2,15,30,10.3,52,525,146,0.24,124,0.9
2021,1,2,16,30,8.1,10,106,11,0.23,132,1
2021,1,2,17,30,7.4,0,0,0,0.23,145,0.9
2021,1,2,18,30,7.1000000000000005,0,0,0,0.23,180,0.6000000000000001
2021,1,2,19,30,6.9,0,0,0,0.23,264,0.5
2021,1,2,20,30,6.7,0,0,0,0.23,325,0.4
2021,1,2,21,30,6.5,0,0,0,0.23,326,0.4
2021,1,2,22,30,5.9,0,0,0,0.23,333,0.6000000000000001
2021,1,2,23,30,5,0,0,0,0.23,345,1
2021,1,3,0,30,4.4,0,0,0,0.23,176,1.1
2021,1,3,1,30,4,0,0,0,0.23,5,1.2000000000000002
2021,1,3,2,30,4.1000000000000005,0,0,0,0.23,181,1.1
2021,1,3,3,30,4.4,0,0,0,0.23,358,1
2021,1,3,4,30,4.4,0,0,0,0.23,356,1
2021,1,3,5,30,4.2,0,0,0,0.23,352,1
2021,1,3,6,30,4.3,0,0,0,0.23,349,0.9
2021,1,3,7,30,5.7,44,30,47,0.23,347,1.2000000000000002
2021,1,3,8,30,8.3,67,634,234,0.23,348,1.4000000000000001
2021,1,3,9,30,10.8,65,831,389,0.23,180,1.2000000000000002
2021,1,3,10,30,12.600000000000001,72,883,491,0.23,18,1.1
2021,1,3,11,30,13.700000000000001,164,650,496,0.23,28,1.1
2021,1,3,12,30,14.4,134,722,493,0.23,27,1.1
2021,1,3,13,30,14.700000000000001,67,865,443,0.23,22,1
2021,1,3,14,30,14.200000000000001,58,784,314,0.23,31,0.7000000000000001
2021,1,3,15,30,12.100000000000001,49,558,150,0.23,88,0.6000000000000001
2021,1,3,16,30,10.100000000000001,10,86,11,0.24,152,0.7000000000000001
2021,1,3,17,30,9.200000000000001,0,0,0,0.24,200,0.7000000000000001
2021,1,3,18,30,8.700000000000001,0,0,0,0.24,252,0.7000000000000001
2021,1,3,19,30,8.700000000000001,0,0,0,0.24,291,0.7000000000000001
2021,1,3,20,30,8.6,0,0,0,0.24,322,0.7000000000000001
2021,1,3,21,30,8.3,0,0,0,0.24,170,0.8
2021,1,3,22,30,7.7,0,0,0,0.24,16,1
2021,1,3,23,30,7,0,0,0,0.24,37,1.1
2021,1,4,0,30,6.4,0,0,0,0.24,44,1.2000000000000002
2021,1,4,1,30,5.7,0,0,0,0.24,36,1.2000000000000002
2021,1,4,2,30,5.2,0,0,0,0.24,22,1.2000000000000002
2021,1,4,3,30,4.9,0,0,0,0.24,187,1.2000000000000002
2021,1,4,4,30,4.800000000000001,0,0,0,0.24,354,1.1
2021,1,4,5,30,4.7,0,0,0,0.24,349,1.1
2021,1,4,6,30,5.1000000000000005,0,0,0,0.24,353,1
2021,1,4,7,30,6.800000000000001,44,8,45,0.24,184,1.3
2021,1,4,8,30,9.3,127,229,187,0.24,39,1.3
2021,1,4,9,30,11.9,156,412,317,0.24,106,1.3
2021,1,4,10,30,14.200000000000001,67,911,500,0.24,153,1.7000000000000002
2021,1,4,11,30,15.9,68,935,547,0.24,169,2.3000000000000003
2021,1,4,12,30,17,69,926,531,0.24,179,2.7
2021,1,4,13,30,17.3,68,881,453,0.24,183,2.9000000000000004
2021,1,4,14,30,16.2,116,488,276,0.24,180,2.1
2021,1,4,15,30,13.600000000000001,70,406,144,0.24,172,1.1
2021,1,4,16,30,11.5,9,56,10,0.27,174,0.9
2021,1,4,17,30,10.4,0,0,0,0.27,183,0.6000000000000001
2021,1,4,18,30,9.4,0,0,0,0.27,253,0.5
2021,1,4,19,30,8.8,0,0,0,0.27,310,0.5
2021,1,4,20,30,8.3,0,0,0,0.27,294,0.7000000000000001
2021,1,4,21,30,7.5,0,0,0,0.27,286,0.9
2021,1,4,22,30,6.5,0,0,0,0.27,290,1
2021,1,4,23,30,5.5,0,0,0,0.27,309,1.2000000000000002
2021,1,5,0,30,4.800000000000001,0,0,0,0.27,327,1.3
2021,1,5,1,30,4.6000000000000005,0,0,0,0.27,335,1.3
2021,1,5,2,30,4.5,0,0,0,0.27,337,1.3
2021,1,5,3,30,4.4,0,0,0,0.27,338,1.4000000000000001
2021,1,5,4,30,4.1000000000000005,0,0,0,0.27,340,1.5
2021,1,5,5,30,3.5,0,0,0,0.27,343,1.6
2021,1,5,6,30,3.8000000000000003,0,0,0,0.27,343,1.7000000000000002
2021,1,5,7,30,6.6000000000000005,32,473,82,0.27,340,2.5
2021,1,5,8,30,10.100000000000001,50,780,256,0.27,348,3.4000000000000004
2021,1,5,9,30,12.9,61,887,408,0.27,182,3.7
2021,1,5,10,30,14.9,71,936,517,0.27,4,3.9000000000000004
2021,1,5,11,30,16.3,73,952,563,0.27,1,4.1000000000000005
2021,1,5,12,30,17.1,74,936,543,0.27,0,4.2
2021,1,5,13,30,17.3,70,897,464,0.27,1,3.9000000000000004
2021,1,5,14,30,16.1,64,808,331,0.27,3,2.9000000000000004
2021,1,5,15,30,12.700000000000001,49,615,163,0.27,3,1.8
2021,1,5,16,30,9.8,11,103,13,0.28,180,1.5
2021,1,5,17,30,8.3,0,0,0,0.28,358,1.6
2021,1,5,18,30,7,0,0,0,0.28,180,1.7000000000000002
2021,1,5,19,30,6.300000000000001,0,0,0,0.28,7,2
2021,1,5,20,30,5.7,0,0,0,0.28,10,2.1
2021,1,5,21,30,5,0,0,0,0.28,8,2.2
2021,1,5,22,30,4.3,0,0,0,0.28,3,2.3000000000000003
2021,1,5,23,30,3.8000000000000003,0,0,0,0.28,178,2.3000000000000003
2021,1,6,0,30,3.3000000000000003,0,0,0,0.28,355,2.2
2021,1,6,1,30,3,0,0,0,0.28,354,2.2
2021,1,6,2,30,2.7,0,0,0,0.28,356,2.1
2021,1,6,3,30,2.5,0,0,0,0.28,180,2
2021,1,6,4,30,2.4000000000000004,0,0,0,0.28,4,1.9000000000000001
2021,1,6,5,30,2.3000000000000003,0,0,0,0.28,8,1.9000000000000001
2021,1,6,6,30,3.2,0,0,0,0.28,10,1.9000000000000001
2021,1,6,7,30,6,41,270,69,0.28,10,2.7
2021,1,6,8,30,9.1,129,260,198,0.28,17,3.4000000000000004
2021,1,6,9,30,11.4,185,356,325,0.28,29,3.1
2021,1,6,10,30,13.4,223,331,381,0.28,33,2.9000000000000004
2021,1,6,11,30,14.8,231,378,426,0.28,34,2.6
