Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323705,-,-,-,33.45,-112.06,0,334,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Clearsky DNI,DHI,DNI,GHI,Temperature,Solar Zenith Angle,Surface Albedo
2023,1,1,0,30,39,3,0,3,15.4,90.14,0.16
2023,1,1,1,30,0,0,0,0,14.5,102.17,0.16
2023,1,1,2,30,0,0,0,0,13.9,114.18,0.16
2023,1,1,3,30,0,0,0,0,13.3,126.52,0.16
2023,1,1,4,30,0,0,0,0,12.700000000000001,139.02,0.16
2023,1,1,5,30,0,0,0,0,12.4,151.39000000000001,0.16
2023,1,1,6,30,0,0,0,0,12.3,162.92000000000002,0.16
2023,1,1,7,30,0,0,0,0,12.3,169.55,0.16
2023,1,1,8,30,0,0,0,0,12.200000000000001,163.47,0.16
2023,1,1,9,30,0,0,0,0,12.3,152.04,0.16
2023,1,1,10,30,0,0,0,0,12.600000000000001,139.68,0.16
2023,1,1,11,30,0,0,0,0,12.8,127.18,0.16
2023,1,1,12,30,0,0,0,0,13,114.82000000000001,0.16
2023,1,1,13,30,0,0,0,0,13.3,102.78,0.16
2023,1,1,14,30,14,0,0,0,13.3,91.28,0.16
2023,1,1,15,30,458,4,0,4,13.200000000000001,80.5,0.16
2023,1,1,16,30,706,11,0,11,13.600000000000001,71.08,0.16
2023,1,1,17,30,814,14,0,14,14.5,63.43,0.16
2023,1,1,18,30,841,33,0,33,15.3,58.300000000000004,0.16
2023,1,1,19,30,836,56,0,56,15.700000000000001,56.410000000000004,0.16
2023,1,1,20,30,809,107,12,113,15.9,58.08,0.16
2023,1,1,21,30,751,59,11,64,15.5,63.02,0.16
