Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,484607,-,-,-,39.73,-104.98,-7,1607,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Solar Zenith Angle
2023,1,1,0,30,-0.1,0,0,0,162.36
2023,1,1,1,30,-0.30000000000000004,0,0,0,155.20000000000002
2023,1,1,2,30,-0.30000000000000004,0,0,0,144.85
2023,1,1,3,30,-0.4,0,0,0,133.55
2023,1,1,4,30,-0.8,0,0,0,122.03
2023,1,1,5,30,-1.4000000000000001,0,0,0,110.64
2023,1,1,6,30,-1.7000000000000002,0,0,0,99.66
2023,1,1,7,30,-0.7000000000000001,9,1,9,89.01
2023,1,1,8,30,1.6,52,4,53,79.97
2023,1,1,9,30,3.5,76,12,80,72.16
2023,1,1,10,30,4.7,102,5,104,66.36
2023,1,1,11,30,5.300000000000001,255,68,286,63.160000000000004
2023,1,1,12,30,5.5,245,110,295,62.97
2023,1,1,13,30,5.4,202,40,218,65.83
2023,1,1,14,30,4.5,121,19,127,71.35000000000001
2023,1,1,15,30,2.7,84,41,92,78.95
2023,1,1,16,30,1,12,0,12,87.92
2023,1,1,17,30,0.1,0,0,0,98.38
2023,1,1,18,30,-0.5,0,0,0,109.3
2023,1,1,19,30,-0.9,0,0,0,120.65
2023,1,1,20,30,-1.1,0,0,0,132.16
2023,1,1,21,30,-1.1,0,0,0,143.51
2023,1,1,22,30,-1.2000000000000002,0,0,0,154.03
2023,1,1,23,30,-1.6,0,0,0,161.75
2023,1,2,0,30,-1.9000000000000001,0,0,0,162.31
2023,1,2,1,30,-2.1,0,0,0,155.21
2023,1,2,2,30,-2.5,0,0,0,144.89000000000001
2023,1,2,3,30,-3.2,0,0,0,133.59
2023,1,2,4,30,-3.8000000000000003,0,0,0,122.07000000000001
2023,1,2,5,30,-4.2,0,0,0,110.68
2023,1,2,6,30,-4.2,0,0,0,99.68
2023,1,2,7,30,-3.4000000000000004,5,0,5,89.02
2023,1,2,8,30,-1.8,74,11,76,79.96000000000001
2023,1,2,9,30,-0.6000000000000001,54,1,54,72.14
2023,1,2,10,30,0,123,14,129,66.31
2023,1,2,11,30,0.4,174,15,181,63.08
2023,1,2,12,30,0.5,161,7,164,62.870000000000005
2023,1,2,13,30,0.2,195,23,204,65.71000000000001
2023,1,2,14,30,-0.6000000000000001,184,32,194,71.22
2023,1,2,15,30,-2,79,5,80,78.81
2023,1,2,16,30,-3.4000000000000004,10,0,10,87.79
2023,1,2,17,30,-4.1000000000000005,0,0,0,98.24000000000001
2023,1,2,18,30,-4.3,0,0,0,109.16
2023,1,2,19,30,-4.4,0,0,0,120.51
2023,1,2,20,30,-4.5,0,0,0,132.02
2023,1,2,21,30,-5,0,0,0,143.37
2023,1,2,22,30,-5.7,0,0,0,153.89000000000001
2023,1,2,23,30,-6.4,0,0,0,161.63
2023,1,3,0,30,-6.800000000000001,0,0,0,162.26
2023,1,3,1,30,-7,0,0,0,155.21
2023,1,3,2,30,-7.2,0,0,0,144.92000000000002
2023,1,3,3,30,-7.4,0,0,0,133.63
2023,1,3,4,30,-7.5,0,0,0,122.10000000000001
2023,1,3,5,30,-7.6000000000000005,0,0,0,110.71000000000001
2023,1,3,6,30,-7.6000000000000005,0,0,0,99.71000000000001
2023,1,3,7,30,-6.7,10,97,12,89.02
2023,1,3,8,30,-4.5,58,17,61,79.96000000000001
2023,1,3,9,30,-2.2,57,844,316,72.11
2023,1,3,10,30,-0.5,161,255,264,66.26
2023,1,3,11,30,0.7000000000000001,175,415,363,63
2023,1,3,12,30,1.4000000000000001,231,83,269,62.77
2023,1,3,13,30,1.7000000000000002,116,4,118,65.59
2023,1,3,14,30,1.1,43,410,176,71.08
2023,1,3,15,30,-0.9,86,209,127,78.67
2023,1,3,16,30,-3.2,14,0,14,87.65
2023,1,3,17,30,-4.4,0,0,0,98.09
2023,1,3,18,30,-4.9,0,0,0,109.02
2023,1,3,19,30,-5.1000000000000005,0,0,0,120.36
2023,1,3,20,30,-5.300000000000001,0,0,0,131.88
2023,1,3,21,30,-5.5,0,0,0,143.23
2023,1,3,22,30,-5.9,0,0,0,153.74
2023,1,3,23,30,-6.300000000000001,0,0,0,161.5
2023,1,4,0,30,-6.6000000000000005,0,0,0,162.19
2023,1,4,1,30,-6.7,0,0,0,155.20000000000002
2023,1,4,2,30,-6.7,0,0,0,144.94
2023,1,4,3,30,-6.5,0,0,0,133.66
2023,1,4,4,30,-6.4,0,0,0,122.14
2023,1,4,5,30,-6.1000000000000005,0,0,0,110.74000000000001
2023,1,4,6,30,-5.800000000000001,0,0,0,99.72
2023,1,4,7,30,-4.800000000000001,12,171,15,89.03
2023,1,4,8,30,-3,36,757,168,79.94
2023,1,4,9,30,-1.3,47,910,327,72.07000000000001
2023,1,4,10,30,0,52,978,447,66.2
2023,1,4,11,30,0.9,55,1006,513,62.910000000000004
2023,1,4,12,30,1.4000000000000001,54,1008,517,62.65
2023,1,4,13,30,1.3,51,986,461,65.45
2023,1,4,14,30,0.4,45,929,348,70.94
2023,1,4,15,30,-1.8,34,803,194,78.52
2023,1,4,16,30,-4.2,18,356,33,87.51
2023,1,4,17,30,-5.4,0,0,0,97.95
2023,1,4,18,30,-6,0,0,0,108.87
2023,1,4,19,30,-6.800000000000001,0,0,0,120.22
2023,1,4,20,30,-7.5,0,0,0,131.74
2023,1,4,21,30,-7.9,0,0,0,143.08
2023,1,4,22,30,-8.1,0,0,0,153.59
2023,1,4,23,30,-8.200000000000001,0,0,0,161.36
2023,1,5,0,30,-8.200000000000001,0,0,0,162.11
2023,1,5,1,30,-8,0,0,0,155.19
2023,1,5,2,30,-7.800000000000001,0,0,0,144.96
2023,1,5,3,30,-7.5,0,0,0,133.68
2023,1,5,4,30,-6.9,0,0,0,122.16
2023,1,5,5,30,-6.300000000000001,0,0,0,110.76
2023,1,5,6,30,-5.300000000000001,0,0,0,99.74000000000001
2023,1,5,7,30,-3.2,9,1,9,89.02
2023,1,5,8,30,-0.2,51,1,51,79.92
2023,1,5,9,30,2.3000000000000003,77,1,77,72.03
2023,1,5,10,30,4,97,1,97,66.13
2023,1,5,11,30,5.5,108,1,108,62.82
2023,1,5,12,30,6.6000000000000005,120,1,120,62.53
2023,1,5,13,30,6.7,102,1,102,65.32000000000001
2023,1,5,14,30,5.5,75,1,75,70.79
2023,1,5,15,30,3.2,42,741,191,78.37
2023,1,5,16,30,0.9,24,97,28,87.37
2023,1,5,17,30,-0.6000000000000001,0,0,0,97.8
2023,1,5,18,30,-1.4000000000000001,0,0,0,108.72
2023,1,5,19,30,-1.8,0,0,0,120.07000000000001
2023,1,5,20,30,-2.1,0,0,0,131.59
2023,1,5,21,30,-2.1,0,0,0,142.93
2023,1,5,22,30,-1.9000000000000001,0,0,0,153.44
2023,1,5,23,30,-1.9000000000000001,0,0,0,161.22
2023,1,6,0,30,-2.2,0,0,0,162.03
2023,1,6,1,30,-2.8000000000000003,0,0,0,155.17000000000002
2023,1,6,2,30,-3.2,0,0,0,144.97
2023,1,6,3,30,-3.4000000000000004,0,0,0,133.7
2023,1,6,4,30,-3.5,0,0,0,122.18
2023,1,6,5,30,-3.4000000000000004,0,0,0,110.77
2023,1,6,6,30,-3.1,0,0,0,99.74000000000001
2023,1,6,7,30,-1.7000000000000002,10,91,12,89.02
2023,1,6,8,30,0.5,77,52,86,79.9
2023,1,6,9,30,2,177,102,209,71.98
2023,1,6,10,30,2.9000000000000004,233,165,300,66.05
2023,1,6,11,30,3.4000000000000004,238,344,396,62.71
2023,1,6,12,30,3.9000000000000004,265,257,384,62.410000000000004
2023,1,6,13,30,4.1000000000000005,258,154,323,65.17
2023,1,6,14,30,3.7,64,828,338,70.64
2023,1,6,15,30,2.6,45,706,189,78.22
2023,1,6,16,30,1.4000000000000001,21,292,35,87.22
2023,1,6,17,30,0.7000000000000001,0,0,0,97.64
2023,1,6,18,30,0.30000000000000004,0,0,0,108.57000000000001
2023,1,6,19,30,0.1,0,0,0,119.92
2023,1,6,20,30,0.1,0,0,0,131.44
2023,1,6,21,30,0,0,0,0,142.78
2023,1,6,22,30,-0.30000000000000004,0,0,0,153.28
2023,1,6,23,30,-0.4,0,0,0,161.07
2023,1,7,0,30,-0.5,0,0,0,161.94
2023,1,7,1,30,-0.6000000000000001,0,0,0,155.15
2023,1,7,2,30,-0.9,0,0,0,144.97
2023,1,7,3,30,-1.5,0,0,0,133.72
2023,1,7,4,30,-2.2,0,0,0,122.2
2023,1,7,5,30,-2.9000000000000004,0,0,0,110.78
2023,1,7,6,30,-3.4000000000000004,0,0,0,99.74000000000001
2023,1,7,7,30,-2.2,9,1,9,89
2023,1,7,8,30,0.6000000000000001,50,590,154,79.86
2023,1,7,9,30,3.3000000000000003,51,858,317,71.93
2023,1,7,10,30,5.2,56,932,436,65.97
2023,1,7,11,30,6.300000000000001,56,966,501,62.6
2023,1,7,12,30,6.9,56,977,511,62.27
2023,1,7,13,30,6.9,52,957,456,65.02
2023,1,7,14,30,5.9,44,903,346,70.48
2023,1,7,15,30,3.6,35,785,197,78.06
2023,1,7,16,30,1.2000000000000002,18,407,39,87.06
2023,1,7,17,30,-0.5,0,0,0,97.48
2023,1,7,18,30,-1.6,0,0,0,108.41
2023,1,7,19,30,-2.1,0,0,0,119.76
2023,1,7,20,30,-2.6,0,0,0,131.28
2023,1,7,21,30,-3.2,0,0,0,142.62
2023,1,7,22,30,-3.7,0,0,0,153.12
2023,1,7,23,30,-4,0,0,0,160.91
2023,1,8,0,30,-4,0,0,0,161.84
2023,1,8,1,30,-3.7,0,0,0,155.11
2023,1,8,2,30,-3.4000000000000004,0,0,0,144.97
2023,1,8,3,30,-3,0,0,0,133.72
2023,1,8,4,30,-2.6,0,0,0,122.2
2023,1,8,5,30,-2.5,0,0,0,110.78
2023,1,8,6,30,-2.5,0,0,0,99.73
2023,1,8,7,30,-0.8,9,1,9,88.99
2023,1,8,8,30,2.3000000000000003,85,36,91,79.82000000000001
2023,1,8,9,30,5.1000000000000005,122,43,135,71.86
2023,1,8,10,30,7.6000000000000005,153,585,392,65.88
2023,1,8,11,30,9.4,233,323,382,62.480000000000004
2023,1,8,12,30,9.9,201,50,224,62.13
2023,1,8,13,30,9,191,504,405,64.87
2023,1,8,14,30,7.4,64,858,353,70.32000000000001
2023,1,8,15,30,5.4,115,250,167,77.89
2023,1,8,16,30,3.6,24,3,24,86.91
2023,1,8,17,30,2.2,0,0,0,97.32000000000001
2023,1,8,18,30,0.9,0,0,0,108.25
2023,1,8,19,30,0.2,0,0,0,119.61
2023,1,8,20,30,0,0,0,0,131.13
2023,1,8,21,30,-0.2,0,0,0,142.46
2023,1,8,22,30,-0.30000000000000004,0,0,0,152.95000000000002
2023,1,8,23,30,-0.30000000000000004,0,0,0,160.75
2023,1,9,0,30,-0.2,0,0,0,161.73
2023,1,9,1,30,-0.2,0,0,0,155.07
2023,1,9,2,30,-0.30000000000000004,0,0,0,144.96
2023,1,9,3,30,-0.6000000000000001,0,0,0,133.72
2023,1,9,4,30,-1.1,0,0,0,122.21000000000001
2023,1,9,5,30,-1.5,0,0,0,110.78
2023,1,9,6,30,-1.4000000000000001,0,0,0,99.72
2023,1,9,7,30,0.30000000000000004,11,20,11,88.96000000000001
2023,1,9,8,30,3.4000000000000004,32,763,167,79.78
2023,1,9,9,30,6.4,42,910,326,71.79
2023,1,9,10,30,8.8,113,742,417,65.78
2023,1,9,11,30,9.9,228,371,400,62.36
2023,1,9,12,30,9.3,204,38,222,61.980000000000004
