Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,355378,-,-,-,51.49,-0.14,0,11,0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Solar Zenith Angle
2020,1,1,0,30,2.8000000000000003,0,0,0,151.48
2020,1,1,1,30,2.3000000000000003,0,0,0,148.41
2020,1,1,2,30,2,0,0,0,141.99
2020,1,1,3,30,1.9000000000000001,0,0,0,133.71
2020,1,1,4,30,2.2,0,0,0,124.62
2020,1,1,5,30,2.6,0,0,0,115.29
2020,1,1,6,30,3,0,0,0,106.15
2020,1,1,7,30,3,0,0,0,97.53
2020,1,1,8,30,3.2,0,0,0,89.29
2020,1,1,9,30,3.8000000000000003,13,0,13,83.07000000000001
2020,1,1,10,30,4.6000000000000005,6,0,6,78.18
2020,1,1,11,30,5.4,8,0,8,75.22
2020,1,1,12,30,5.800000000000001,8,0,8,74.49
2020,1,1,13,30,5.9,7,0,7,76.06
2020,1,1,14,30,5.6000000000000005,19,0,19,79.77
2020,1,1,15,30,5.1000000000000005,23,0,23,85.27
2020,1,1,16,30,4.6000000000000005,0,0,0,92.49
2020,1,1,17,30,4.3,0,0,0,100.62
2020,1,1,18,30,4.2,0,0,0,109.47
2020,1,1,19,30,4.1000000000000005,0,0,0,118.71000000000001
2020,1,1,20,30,4.1000000000000005,0,0,0,128
2020,1,1,21,30,4.1000000000000005,0,0,0,136.87
2020,1,1,22,30,4.2,0,0,0,144.59
2020,1,1,23,30,4.4,0,0,0,149.96
2020,1,2,0,30,4.5,0,0,0,151.41
2020,1,2,1,30,4.800000000000001,0,0,0,148.38
2020,1,2,2,30,5.1000000000000005,0,0,0,141.98
2020,1,2,3,30,5.4,0,0,0,133.72
2020,1,2,4,30,5.800000000000001,0,0,0,124.63000000000001
2020,1,2,5,30,6.300000000000001,0,0,0,115.31
2020,1,2,6,30,6.800000000000001,0,0,0,106.16
2020,1,2,7,30,7.1000000000000005,0,0,0,97.53
2020,1,2,8,30,7.5,0,0,0,89.29
2020,1,2,9,30,8,7,0,7,83.05
2020,1,2,10,30,8.6,6,0,6,78.13
2020,1,2,11,30,9,29,0,29,75.15
2020,1,2,12,30,9,5,0,5,74.4
2020,1,2,13,30,8.8,4,0,4,75.96000000000001
2020,1,2,14,30,8.5,10,0,10,79.66
2020,1,2,15,30,8.1,9,0,9,85.15
2020,1,2,16,30,7.9,0,0,0,92.36
2020,1,2,17,30,7.800000000000001,0,0,0,100.48
2020,1,2,18,30,7.9,0,0,0,109.33
2020,1,2,19,30,8.1,0,0,0,118.57000000000001
2020,1,2,20,30,8.3,0,0,0,127.86
2020,1,2,21,30,8.6,0,0,0,136.73
2020,1,2,22,30,9.1,0,0,0,144.47
2020,1,2,23,30,9.4,0,0,0,149.84
2020,1,3,0,30,9.8,0,0,0,151.33
2020,1,3,1,30,10,0,0,0,148.33
2020,1,3,2,30,10.100000000000001,0,0,0,141.96
2020,1,3,3,30,10.100000000000001,0,0,0,133.72
2020,1,3,4,30,9.700000000000001,0,0,0,124.64
2020,1,3,5,30,9.1,0,0,0,115.31
2020,1,3,6,30,8.4,0,0,0,106.16
2020,1,3,7,30,8.1,0,0,0,97.52
2020,1,3,8,30,8.4,0,0,0,89.28
2020,1,3,9,30,8.6,15,0,15,83.01
2020,1,3,10,30,8.3,3,0,3,78.08
2020,1,3,11,30,7.800000000000001,4,0,4,75.08
2020,1,3,12,30,7.7,10,0,10,74.31
