Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1992950,-,-,-,-1.27,36.82,3,1658,3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI
2021,1,1,0,30,14.4,0,0,0
2021,1,1,1,30,13.8,0,0,0
2021,1,1,2,30,13.3,0,0,0
2021,1,1,3,30,15.3,0,0,0
2021,1,1,4,30,15.100000000000001,0,0,0
2021,1,1,5,30,15,0,0,0
2021,1,1,6,30,15.3,0,0,0
2021,1,1,7,30,16.8,3,0,3
2021,1,1,8,30,18.900000000000002,161,34,175
2021,1,1,9,30,21,210,1,210
2021,1,1,10,30,22.700000000000003,310,352,578
2021,1,1,11,30,24,355,369,677
2021,1,1,12,30,25.1,376,368,717
2021,1,1,13,30,25.6,308,539,801
2021,1,1,14,30,25.3,358,317,625
2021,1,1,15,30,24.400000000000002,318,309,539
2021,1,1,16,30,22.900000000000002,252,199,360
2021,1,1,17,30,21.1,147,41,160
2021,1,1,18,30,19.400000000000002,12,0,12
2021,1,1,19,30,18.400000000000002,0,0,0
2021,1,1,20,30,17.8,0,0,0
2021,1,1,21,30,17.3,0,0,0
2021,1,1,22,30,16.900000000000002,0,0,0
2021,1,1,23,30,16.6,0,0,0
2021,1,2,0,30,16.3,0,0,0
2021,1,2,1,30,16.1,0,0,0
2021,1,2,2,30,15.9,0,0,0
2021,1,2,3,30,15.8,0,0,0
2021,1,2,4,30,15.600000000000001,0,0,0
2021,1,2,5,30,15.4,0,0,0
2021,1,2,6,30,15.700000000000001,0,0,0
2021,1,2,7,30,17.1,38,544,127
2021,1,2,8,30,19.3,59,814,378
2021,1,2,9,30,21.8,69,927,621
2021,1,2,10,30,24,77,984,823
2021,1,2,11,30,25.6,82,1011,963
2021,1,2,12,30,26.6,85,1022,1031
2021,1,2,13,30,27,83,1022,1020
2021,1,2,14,30,26.8,81,1005,932
2021,1,2,15,30,26.1,84,953,769
2021,1,2,16,30,24.900000000000002,74,886,555
2021,1,2,17,30,23.1,59,746,306
2021,1,2,18,30,20.900000000000002,44,2,44
2021,1,2,19,30,19.5,0,0,0
2021,1,2,20,30,18.6,0,0,0
2021,1,2,21,30,17.900000000000002,0,0,0
2021,1,2,22,30,17.3,0,0,0
2021,1,2,23,30,16.8,0,0,0
2021,1,3,0,30,16.3,0,0,0
2021,1,3,1,30,16.1,0,0,0
2021,1,3,2,30,15.8,0,0,0
2021,1,3,3,30,15.5,0,0,0
2021,1,3,4,30,15.200000000000001,0,0,0
2021,1,3,5,30,15.100000000000001,0,0,0
2021,1,3,6,30,15.5,0,0,0
2021,1,3,7,30,17.2,40,524,125
2021,1,3,8,30,19.6,61,806,376
2021,1,3,9,30,22.1,73,916,618
2021,1,3,10,30,24.200000000000003,80,974,819
2021,1,3,11,30,25.6,84,1001,957
2021,1,3,12,30,26.400000000000002,88,1010,1023
2021,1,3,13,30,26.8,90,1005,1012
2021,1,3,14,30,26.6,228,661,788
2021,1,3,15,30,25.700000000000003,85,944,766
2021,1,3,16,30,24,79,864,550
2021,1,3,17,30,22,124,494,289
2021,1,3,18,30,20.1,44,8,45
2021,1,3,19,30,18.900000000000002,0,0,0
2021,1,3,20,30,18.3,0,0,0
2021,1,3,21,30,17.900000000000002,0,0,0
2021,1,3,22,30,17.7,0,0,0
2021,1,3,23,30,17.3,0,0,0
2021,1,4,0,30,17,0,0,0
2021,1,4,1,30,16.7,0,0,0
2021,1,4,2,30,16.400000000000002,0,0,0
2021,1,4,3,30,16.1,0,0,0
2021,1,4,4,30,15.8,0,0,0
2021,1,4,5,30,15.600000000000001,0,0,0
2021,1,4,6,30,15.700000000000001,0,0,0
2021,1,4,7,30,16.7,44,477,120
2021,1,4,8,30,18.1,175,317,298
2021,1,4,9,30,19.8,192,560,525
2021,1,4,10,30,21.6,86,964,817
2021,1,4,11,30,23.3,90,997,959
2021,1,4,12,30,24.900000000000002,323,559,842
2021,1,4,13,30,25.900000000000002,385,335,693
2021,1,4,14,30,25.700000000000003,85,1002,935
2021,1,4,15,30,24.900000000000002,76,973,779
2021,1,4,16,30,23.6,69,905,564
2021,1,4,17,30,22,56,770,314
2021,1,4,18,30,20.3,29,421,72
2021,1,4,19,30,19.1,0,0,0
2021,1,4,20,30,18.1,0,0,0
2021,1,4,21,30,17.2,0,0,0
2021,1,4,22,30,16.400000000000002,0,0,0
2021,1,4,23,30,15.600000000000001,0,0,0
2021,1,5,0,30,14.9,0,0,0
2021,1,5,1,30,14.4,0,0,0
2021,1,5,2,30,13.9,0,0,0
2021,1,5,3,30,13.700000000000001,0,0,0
2021,1,5,4,30,13.5,0,0,0
2021,1,5,5,30,13.5,0,0,0
2021,1,5,6,30,14.200000000000001,0,0,0
2021,1,5,7,30,17.1,47,447,118
2021,1,5,8,30,20,172,10,176
2021,1,5,9,30,22.400000000000002,315,55,347
2021,1,5,10,30,24.400000000000002,105,935,813
2021,1,5,11,30,25.900000000000002,112,966,954
2021,1,5,12,30,26.900000000000002,109,988,1025
2021,1,5,13,30,27.400000000000002,110,985,1016
2021,1,5,14,30,27.3,106,964,927
2021,1,5,15,30,26.6,96,933,771
2021,1,5,16,30,25.400000000000002,274,38,294
2021,1,5,17,30,23.6,182,22,189
2021,1,5,18,30,21.400000000000002,34,339,69
2021,1,5,19,30,19.900000000000002,0,0,0
2021,1,5,20,30,18.900000000000002,0,0,0
2021,1,5,21,30,18.1,0,0,0
2021,1,5,22,30,17.5,0,0,0
2021,1,5,23,30,17.1,0,0,0
2021,1,6,0,30,16.6,0,0,0
2021,1,6,1,30,16.1,0,0,0
2021,1,6,2,30,15.600000000000001,0,0,0
2021,1,6,3,30,15.200000000000001,0,0,0
2021,1,6,4,30,14.8,0,0,0
2021,1,6,5,30,14.5,0,0,0
2021,1,6,6,30,14.8,0,0,0
2021,1,6,7,30,17,4,0,4
2021,1,6,8,30,19.8,67,786,371
2021,1,6,9,30,22.400000000000002,79,909,616
2021,1,6,10,30,24.6,86,967,819
2021,1,6,11,30,26.1,93,997,961
2021,1,6,12,30,27,98,1003,1028
2021,1,6,13,30,27.3,97,1002,1020
2021,1,6,14,30,27,93,987,934
2021,1,6,15,30,26.3,413,235,584
2021,1,6,16,30,25.200000000000003,316,89,365
2021,1,6,17,30,23.5,62,748,315
2021,1,6,18,30,21.3,51,4,51
2021,1,6,19,30,19.8,0,0,0
2021,1,6,20,30,18.8,0,0,0
2021,1,6,21,30,17.8,0,0,0
2021,1,6,22,30,17,0,0,0
2021,1,6,23,30,16.3,0,0,0
2021,1,7,0,30,15.5,0,0,0
2021,1,7,1,30,14.700000000000001,0,0,0
2021,1,7,2,30,14.100000000000001,0,0,0
2021,1,7,3,30,13.600000000000001,0,0,0
2021,1,7,4,30,13.200000000000001,0,0,0
2021,1,7,5,30,12.9,0,0,0
2021,1,7,6,30,13.8,0,0,0
2021,1,7,7,30,17.3,41,506,119
2021,1,7,8,30,20.5,67,789,371
2021,1,7,9,30,22.900000000000002,82,906,617
2021,1,7,10,30,24.900000000000002,92,965,822
2021,1,7,11,30,26.6,98,996,967
2021,1,7,12,30,27.700000000000003,92,1020,1039
2021,1,7,13,30,28.200000000000003,93,1017,1030
2021,1,7,14,30,28.1,91,999,944
2021,1,7,15,30,27.5,90,955,784
2021,1,7,16,30,26.200000000000003,81,881,567
2021,1,7,17,30,24.3,65,737,317
2021,1,7,18,30,21.900000000000002,34,366,73
