Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323705,-,-,-,33.45,-112.06,-7,334,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DNI,DHI,DNI,GHI,Solar Zenith Angle
2023,1,1,0,30,12.3,0,0,0,0,169.55
2023,1,1,1,30,12.200000000000001,0,0,0,0,163.47
2023,1,1,2,30,12.3,0,0,0,0,152.04
2023,1,1,3,30,12.600000000000001,0,0,0,0,139.68
2023,1,1,4,30,12.8,0,0,0,0,127.18
2023,1,1,5,30,13,0,0,0,0,114.82000000000001
2023,1,1,6,30,13.3,0,0,0,0,102.78
2023,1,1,7,30,13.3,14,0,0,0,91.28
2023,1,1,8,30,13.200000000000001,458,4,0,4,80.5
2023,1,1,9,30,13.600000000000001,706,11,0,11,71.08
2023,1,1,10,30,14.5,814,14,0,14,63.43
2023,1,1,11,30,15.3,841,33,0,33,58.300000000000004
2023,1,1,12,30,15.700000000000001,836,56,0,56,56.410000000000004
2023,1,1,13,30,15.9,809,107,12,113,58.08
2023,1,1,14,30,15.5,751,59,11,64,63.02
2023,1,1,15,30,14.5,620,120,148,169,70.53
2023,1,1,16,30,13,325,46,9,48,79.86
2023,1,1,17,30,11.5,4,3,0,3,90.03
2023,1,1,18,30,10.700000000000001,0,0,0,0,102.03
2023,1,1,19,30,10.3,0,0,0,0,114.04
2023,1,1,20,30,9.8,0,0,0,0,126.39
2023,1,1,21,30,9.3,0,0,0,0,138.88
2023,1,1,22,30,8.4,0,0,0,0,151.26
2023,1,1,23,30,7.5,0,0,0,0,162.78
2023,1,2,0,30,7,0,0,0,0,169.46
2023,1,2,1,30,6.7,0,0,0,0,163.49
2023,1,2,2,30,6.800000000000001,0,0,0,0,152.1
2023,1,2,3,30,7.1000000000000005,0,0,0,0,139.74
2023,1,2,4,30,7.300000000000001,0,0,0,0,127.24000000000001
2023,1,2,5,30,7.4,0,0,0,0,114.87
2023,1,2,6,30,7.4,0,0,0,0,102.83
2023,1,2,7,30,8,3,2,3,2,91.31
2023,1,2,8,30,9,292,70,280,116,80.52
2023,1,2,9,30,10.4,570,148,274,237,71.08
2023,1,2,10,30,11.9,752,140,614,415,63.4
2023,1,2,11,30,12.700000000000001,856,203,405,416,58.25
2023,1,2,12,30,13,877,95,722,495,56.33
2023,1,2,13,30,13.100000000000001,861,164,654,511,57.97
2023,1,2,14,30,13.100000000000001,802,182,7,185,62.89
2023,1,2,15,30,12.600000000000001,708,177,95,209,70.4
2023,1,2,16,30,11.100000000000001,498,58,312,114,79.72
2023,1,2,17,30,9.700000000000001,37,3,0,3,89.9
2023,1,2,18,30,9.200000000000001,0,0,0,0,101.89
2023,1,2,19,30,8.8,0,0,0,0,113.9
2023,1,2,20,30,8.3,0,0,0,0,126.25
2023,1,2,21,30,7.9,0,0,0,0,138.75
2023,1,2,22,30,7.5,0,0,0,0,151.12
2023,1,2,23,30,7.1000000000000005,0,0,0,0,162.64000000000001
2023,1,3,0,30,6.800000000000001,0,0,0,0,169.36
2023,1,3,1,30,6.4,0,0,0,0,163.5
2023,1,3,2,30,6.300000000000001,0,0,0,0,152.14000000000001
2023,1,3,3,30,6.2,0,0,0,0,139.8
2023,1,3,4,30,6.1000000000000005,0,0,0,0,127.3
2023,1,3,5,30,6.2,0,0,0,0,114.93
2023,1,3,6,30,6.2,0,0,0,0,102.87
2023,1,3,7,30,7,18,1,0,1,91.34
2023,1,3,8,30,8.700000000000001,504,31,2,31,80.53
2023,1,3,9,30,10.700000000000001,734,153,232,228,71.07000000000001
2023,1,3,10,30,12.4,839,102,738,433,63.370000000000005
2023,1,3,11,30,13.600000000000001,889,93,796,513,58.18
2023,1,3,12,30,14.600000000000001,905,83,905,586,56.230000000000004
2023,1,3,13,30,15.200000000000001,897,94,860,552,57.85
2023,1,3,14,30,15.3,852,104,678,414,62.76
2023,1,3,15,30,14.700000000000001,760,66,734,314,70.25
2023,1,3,16,30,13.100000000000001,562,48,562,150,79.58
2023,1,3,17,30,11.3,71,6,15,6,89.78
2023,1,3,18,30,10.200000000000001,0,0,0,0,101.75
2023,1,3,19,30,9.600000000000001,0,0,0,0,113.76
2023,1,3,20,30,9.3,0,0,0,0,126.11
2023,1,3,21,30,9,0,0,0,0,138.61
2023,1,3,22,30,8.6,0,0,0,0,150.98
2023,1,3,23,30,8.3,0,0,0,0,162.49
2023,1,4,0,30,8.4,0,0,0,0,169.26
2023,1,4,1,30,8.6,0,0,0,0,163.51
2023,1,4,2,30,8.700000000000001,0,0,0,0,152.19
2023,1,4,3,30,8.6,0,0,0,0,139.85
2023,1,4,4,30,8.4,0,0,0,0,127.35000000000001
2023,1,4,5,30,8.200000000000001,0,0,0,0,114.97
2023,1,4,6,30,8.200000000000001,0,0,0,0,102.91
2023,1,4,7,30,9.200000000000001,24,2,0,2,91.37
2023,1,4,8,30,10.9,536,40,2,40,80.54
2023,1,4,9,30,13,754,147,102,180,71.06
2023,1,4,10,30,15.600000000000001,849,227,77,262,63.33
2023,1,4,11,30,17.6,894,121,760,523,58.11
2023,1,4,12,30,18.6,912,74,912,582,56.13
2023,1,4,13,30,19,899,74,899,554,57.72
2023,1,4,14,30,19,854,71,854,464,62.620000000000005
2023,1,4,15,30,18.2,772,87,652,309,70.11
2023,1,4,16,30,16.6,590,45,590,153,79.43
2023,1,4,17,30,14.8,91,9,91,10,89.66
2023,1,4,18,30,13.4,0,0,0,0,101.61
2023,1,4,19,30,11.9,0,0,0,0,113.62
2023,1,4,20,30,10.700000000000001,0,0,0,0,125.97
2023,1,4,21,30,9.8,0,0,0,0,138.47
2023,1,4,22,30,9.1,0,0,0,0,150.84
2023,1,4,23,30,8.6,0,0,0,0,162.34
2023,1,5,0,30,8.200000000000001,0,0,0,0,169.14000000000001
2023,1,5,1,30,7.9,0,0,0,0,163.51
2023,1,5,2,30,7.7,0,0,0,0,152.23
2023,1,5,3,30,7.5,0,0,0,0,139.9
2023,1,5,4,30,7.4,0,0,0,0,127.4
2023,1,5,5,30,7.2,0,0,0,0,115.01
2023,1,5,6,30,7.300000000000001,0,0,0,0,102.94
2023,1,5,7,30,8.8,33,1,0,1,91.39
2023,1,5,8,30,11.4,597,35,1,35,80.54
2023,1,5,9,30,14.200000000000001,800,105,21,112,71.04
2023,1,5,10,30,17,890,125,7,128,63.28
2023,1,5,11,30,19,933,250,63,283,58.03
2023,1,5,12,30,20.200000000000003,945,221,34,240,56.02
2023,1,5,13,30,20.700000000000003,929,269,98,322,57.59
2023,1,5,14,30,20.5,887,149,12,155,62.47
2023,1,5,15,30,19,795,139,18,145,69.96000000000001
2023,1,5,16,30,16.6,592,72,22,76,79.28
2023,1,5,17,30,15,81,5,0,5,89.53
2023,1,5,18,30,14.100000000000001,0,0,0,0,101.46000000000001
2023,1,5,19,30,13.5,0,0,0,0,113.48
2023,1,5,20,30,12.9,0,0,0,0,125.83
2023,1,5,21,30,12.100000000000001,0,0,0,0,138.33
2023,1,5,22,30,11.600000000000001,0,0,0,0,150.69
2023,1,5,23,30,11.4,0,0,0,0,162.19
2023,1,6,0,30,11.3,0,0,0,0,169.02
2023,1,6,1,30,11.200000000000001,0,0,0,0,163.5
2023,1,6,2,30,10.8,0,0,0,0,152.26
