Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,494904,-,-,-,38.17,-104.58,-7,1466,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Surface Albedo,Wind Direction,Wind Speed
2021,1,1,0,30,-3.3000000000000003,0,0,0,0.19,353,1.9000000000000001
2021,1,1,1,30,-3.4000000000000004,0,0,0,0.19,349,2.1
2021,1,1,2,30,-3.6,0,0,0,0.19,343,2.4000000000000004
2021,1,1,3,30,-3.7,0,0,0,0.19,339,2.7
2021,1,1,4,30,-3.7,0,0,0,0.19,338,2.8000000000000003
2021,1,1,5,30,-3.8000000000000003,0,0,0,0.19,337,2.9000000000000004
2021,1,1,6,30,-3.5,0,0,0,0.19,334,2.9000000000000004
2021,1,1,7,30,-1.8,6,0,6,0.19,333,3.5
2021,1,1,8,30,0.9,111,27,116,0.19,345,4.1000000000000005
2021,1,1,9,30,3.2,162,26,171,0.19,185,4.1000000000000005
2021,1,1,10,30,4.800000000000001,243,99,285,0.19,17,3.7
2021,1,1,11,30,5.7,196,428,400,0.19,20,3.2
2021,1,1,12,30,6.2,65,940,514,0.19,20,2.6
2021,1,1,13,30,6.2,72,874,449,0.19,20,2
2021,1,1,14,30,5.4,111,581,308,0.19,28,1.1
2021,1,1,15,30,3.3000000000000003,45,690,188,0.19,54,0.8
2021,1,1,16,30,1.2000000000000002,21,4,21,0.19,85,1
2021,1,1,17,30,0,0,0,0,0.19,105,1.1
2021,1,1,18,30,-0.7000000000000001,0,0,0,0.19,123,1.1
2021,1,1,19,30,-1.1,0,0,0,0.19,144,1
2021,1,1,20,30,-1.6,0,0,0,0.19,164,1
2021,1,1,21,30,-1.9000000000000001,0,0,0,0.19,181,1
2021,1,1,22,30,-2.2,0,0,0,0.19,196,0.9
2021,1,1,23,30,-2.3000000000000003,0,0,0,0.19,214,0.9
2021,1,2,0,30,-2.4000000000000004,0,0,0,0.19,242,1
2021,1,2,1,30,-2.5,0,0,0,0.19,266,1.3
2021,1,2,2,30,-2.7,0,0,0,0.19,272,1.8
2021,1,2,3,30,-2.9000000000000004,0,0,0,0.19,270,2.5
2021,1,2,4,30,-3.1,0,0,0,0.19,268,3.1
2021,1,2,5,30,-3.5,0,0,0,0.19,266,3.5
2021,1,2,6,30,-3.5,0,0,0,0.19,267,3.9000000000000004
2021,1,2,7,30,-2.2,14,1,14,0.19,269,4.4
2021,1,2,8,30,0.7000000000000001,36,777,188,0.19,275,4.9
2021,1,2,9,30,4.3,45,918,348,0.19,286,4.9
2021,1,2,10,30,7.300000000000001,50,980,468,0.19,294,4.4
2021,1,2,11,30,9.3,53,1019,540,0.19,295,3.7
2021,1,2,12,30,10.4,54,1020,543,0.19,295,2.9000000000000004
2021,1,2,13,30,10.600000000000001,53,979,477,0.19,296,2
2021,1,2,14,30,8.9,49,916,361,0.19,300,1.4000000000000001
2021,1,2,15,30,5.6000000000000005,40,764,200,0.19,300,1.2000000000000002
2021,1,2,16,30,2.8000000000000003,20,343,37,0.19,296,1.7000000000000002
2021,1,2,17,30,1.3,0,0,0,0.19,297,2.5
2021,1,2,18,30,0.30000000000000004,0,0,0,0.19,298,3.2
2021,1,2,19,30,-0.30000000000000004,0,0,0,0.19,297,3.5
2021,1,2,20,30,-0.8,0,0,0,0.19,293,3.5
2021,1,2,21,30,-1.3,0,0,0,0.19,287,3.4000000000000004
2021,1,2,22,30,-1.5,0,0,0,0.19,282,3.6
2021,1,2,23,30,-1.8,0,0,0,0.19,279,3.6
2021,1,3,0,30,-2,0,0,0,0.19,276,3.6
2021,1,3,1,30,-2.2,0,0,0,0.19,271,3.4000000000000004
2021,1,3,2,30,-2.4000000000000004,0,0,0,0.19,267,3.1
2021,1,3,3,30,-2.5,0,0,0,0.19,264,2.9000000000000004
2021,1,3,4,30,-2.5,0,0,0,0.19,263,2.9000000000000004
2021,1,3,5,30,-2.5,0,0,0,0.19,264,3.1
2021,1,3,6,30,-2.1,0,0,0,0.19,266,3.4000000000000004
2021,1,3,7,30,-0.4,17,217,24,0.19,269,4.1000000000000005
2021,1,3,8,30,2.6,38,739,183,0.19,272,4.6000000000000005
2021,1,3,9,30,5.7,49,880,340,0.19,280,4.5
2021,1,3,10,30,8.4,54,942,457,0.19,287,4.2
2021,1,3,11,30,10.4,56,966,519,0.19,292,3.9000000000000004
2021,1,3,12,30,11.600000000000001,57,961,520,0.19,298,3.7
2021,1,3,13,30,11.9,56,926,459,0.19,305,3.3000000000000003
2021,1,3,14,30,10.600000000000001,52,851,344,0.19,311,2.5
2021,1,3,15,30,7.7,57,581,180,0.19,313,2.1
2021,1,3,16,30,5.300000000000001,13,0,13,0.19,307,2.4000000000000004
2021,1,3,17,30,4,0,0,0,0.19,301,2.7
2021,1,3,18,30,2.8000000000000003,0,0,0,0.19,297,2.9000000000000004
2021,1,3,19,30,1.7000000000000002,0,0,0,0.19,292,3.3000000000000003
2021,1,3,20,30,1.3,0,0,0,0.19,287,3.7
2021,1,3,21,30,1.1,0,0,0,0.19,285,3.9000000000000004
2021,1,3,22,30,1,0,0,0,0.19,285,4
2021,1,3,23,30,0.8,0,0,0,0.19,285,4
2021,1,4,0,30,0.6000000000000001,0,0,0,0.19,285,3.9000000000000004
2021,1,4,1,30,0.4,0,0,0,0.19,288,3.8000000000000003
2021,1,4,2,30,0,0,0,0,0.19,291,3.5
2021,1,4,3,30,-0.5,0,0,0,0.19,292,3.3000000000000003
2021,1,4,4,30,-0.9,0,0,0,0.19,292,3.1
2021,1,4,5,30,-1.3,0,0,0,0.19,290,2.9000000000000004
