ylat,xlong,p_area,p_cap_ac
35.4774,-97.6764,50723,2.5
43.0168,-78.9779,77051,4
39.4045,-90.0025,56943,2
42.3708,-74.0406,40085,2
42.3804,-89.8412,55382,2
45.5976,-94.8633,17245,1
45.2466,-68.6177,92332,4.9
35.6608,-117.8126,152996,11.9
43.8906,-70.3193,101010,4.9
44.8738,-68.8482,92813,4.9
44.798,-68.7135,62277,5
45.3954,-94.7412,23485,1
44.9847,-95.7144,23417,1
43.982,-95.7658,23355,1
44.8066,-95.2071,29010,1
43.1993,-76.178,57356,4
43.2618,-75.1949,69759,5
44.1998,-70.0705,88442,4.5
44.974,-69.0921,74830,4
44.5352,-94.9102,18483,1
42.8978,-77.7288,96692,5
46.537,-68.3448,69634,5
45.653,-94.0301,17925,1
43.2793,-77.7626,87188,2
43.0419,-78.1359,71365,5
45.48,-92.8128,42311,1
44.7326,-94.6082,26515,1
38.8237,-76.9352,52483,3
46.6829,-68.0371,44785,3
46.7058,-68.0438,53163,3
44.7165,-69.8112,37273,2
44.8535,-69.9043,30365,2
43.1946,-76.1748,94841,5
43.3504,-75.7352,84453,5
39.6307,-77.9091,51289,2
45.4975,-95.1616,25547,1
44.7275,-93.9626,21253,1
42.3121,-89.9094,39284,2
41.593,-75.0272,48615,2
44.1213,-93.2688,23451,1
44.0986,-91.7938,6184,1
41.7534,-74.9609,40001,2
41.392,-74.4548,6737,2
42.5696,-72.1619,16870,1
39.4138,-108.0899,28730,2
40.2404,-104.7709,38571,2
44.9429,-92.854,32072,1
45.4882,-92.8506,24851,1
45.3916,-92.6851,94091,5
43.8658,-91.3271,22176,1
44.3681,-92.028,22637,1
41.0329,-89.3984,36251,2
42.2438,-72.1006,15716,1
40.2585,-104.8249,35236,2
45.3197,-92.798,68957,3
43.8581,-91.3254,22785,1
44.7322,-94.6227,26667,1
45.674,-94.7509,33250,1
45.3483,-92.9232,30930,1
45.5173,-94.1107,33636,1
45.4283,-94.7059,28285,1
44.0355,-93.4953,18151,1
44.6564,-93.108,21381,1
44.6819,-93.7627,31342,1
42.7606,-78.5596,41873,2
